"表166-Z(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：連 江 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
南竿鄉,介壽村,754,777294,11025,5854,676897,30895,8083,2088,539,37524,26,3220,639,504,572419,672815,1883
,復興村,364,366889,2925,2898,327359,14492,1884,769,263,14134,0,2013,0,152,276405,315935,32
,福沃村,309,323851,6564,688,264561,10845,4609,645,151,34291,241,1225,0,30,223647,282937,176
,清水村,284,282512,5480,957,243788,10446,3530,781,178,15940,0,1010,0,402,203034,241758,201
,珠螺村,47,40479,160,392,36111,1257,175,632,47,1309,0,345,0,50,29832,34200,2
,仁愛村,164,165876,961,932,148493,8571,1652,458,54,3806,0,946,0,3,124635,142018,47
,津沙村,88,98296,2398,36,80149,3753,850,13,27,10492,0,578,0,0,67040,85186,10
,馬祖村,163,158303,3177,23,132474,7387,2026,268,145,11229,0,1574,0,0,110654,136483,86
,四維村,52,62666,447,99,50448,2637,2500,109,20,6297,0,109,0,0,42959,55177,5
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2225,2276166,33138,11879,1960281,90282,25309,5763,1424,135023,266,11019,639,1142,1650624,1966509,2441
北竿鄉,塘岐村,319,307647,6442,1510,249914,10673,4465,240,153,31615,0,2635,0,0,207140,264873,46
,后沃村,57,60558,272,2183,52890,1074,811,0,15,2995,0,277,42,0,44777,52445,241
,橋仔村,76,78215,1490,167,65320,1788,662,81,46,4585,3770,306,0,0,54977,67873,23
,芹壁村,53,50635,1228,198,42073,4329,413,61,221,1581,0,395,0,137,35103,43665,1
,坂里村,77,64473,1273,13,58595,1870,502,146,73,1899,0,101,0,0,47963,53841,11
,白沙村,32,21473,357,483,16693,350,515,87,54,2878,0,55,0,0,12900,17681,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,614,583002,11062,4554,485485,20083,7369,616,561,45554,3770,3768,42,137,402860,500377,323
莒光鄉,青帆村,156,152309,1051,249,135570,7032,1110,86,56,6878,0,272,0,5,114841,131579,4
,田沃村,68,58894,2948,617,50073,2514,374,0,24,2200,0,74,0,71,39989,48810,10
,西坵村,25,17811,173,23,14081,2570,25,0,8,896,0,36,0,0,11229,14960,0
,大坪村,137,130122,705,1210,108438,7048,1052,255,89,10651,0,495,0,179,90075,111758,6
,福正村,49,37139,963,750,29862,2066,262,64,18,2675,0,373,0,106,23144,30421,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,435,396275,5840,2848,338024,21230,2824,405,194,23300,0,1251,0,361,279277,337529,20
東引鄉,中柳村,189,174980,2438,344,157399,5538,1013,0,156,7270,0,405,0,417,131400,148980,4
,樂華村,225,201534,2695,3367,180785,7433,1298,269,69,5081,44,491,0,1,150583,171332,259
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,414,376514,5133,3711,338184,12971,2311,269,225,12351,44,896,0,418,281983,320312,263
