"表166-W(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：金 門 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
金城鎮,東門里,1430,1301045,37629,27457,1043444,63554,13922,2238,2050,95415,1196,11242,77,2821,862275,1119876,1239
,南門里,1689,1571613,29499,22331,1261151,93525,16333,3400,2142,119945,3876,15928,488,2994,1043849,1355212,3348
,西門里,3286,3301374,57202,59767,2690849,205415,29382,7127,4169,205175,4203,26308,1308,10470,2264481,2874702,5428
,北門里,1283,1211778,30600,30554,959659,70135,18709,3445,1226,77771,778,12603,272,6027,799308,1052026,1493
,賢庵里,1253,1099760,33470,12265,906955,53124,8728,1741,1486,70111,2760,8040,154,926,742480,935284,1311
,金水里,626,574402,6565,5129,493938,30380,2168,1125,768,29244,0,4808,4,274,408701,489166,562
,古城里,1070,972090,14972,6216,823005,49564,6152,622,2241,59477,589,8563,0,688,675015,824440,278
,珠沙里,835,734450,11393,6580,608335,41103,6366,2714,769,49141,448,5610,0,1991,499916,626480,517
,其　他,11,6215,806,73,4577,170,417,0,0,50,0,46,0,76,3401,5039,86
,合　計,11483,10772727,222134,170373,8791913,606971,102177,22412,14849,706329,13850,93148,2303,26267,7299427,9282223,14263
金寧鄉,古寧村,887,784185,8877,12762,650509,43129,4359,1300,1074,50916,884,9137,0,1237,532264,665940,850
,安美村,1155,967337,23273,7240,818912,42953,5037,1029,1228,56405,827,9380,0,1053,664902,813417,410
,湖埔村,1652,1545950,25929,15590,1322145,77308,10182,3453,1864,73064,749,13061,111,2494,1093848,1317642,1346
,榜林村,1454,1306372,23863,14646,1046743,67343,18482,2092,1560,111649,1880,13950,0,4162,856294,1115924,839
,盤山村,1482,1370773,44565,17719,1124593,61324,14689,2737,2326,86393,351,12091,212,3773,932057,1178053,2958
,后盤村,384,345659,12112,4340,286845,16580,957,581,405,19073,2016,2224,0,525,234591,293404,252
,其　他,5,1399,336,0,691,100,198,0,33,40,0,0,0,0,400,1107,0
,合　計,7019,6321675,138956,72298,5250439,308737,53905,11192,8489,397541,6708,59843,323,13244,4314356,5385487,6655
金湖鎮,新市里,1400,1392722,37248,25006,1138158,68789,12769,2653,1753,87291,3972,12994,68,2020,965283,1219847,1406
,山外里,1001,844416,19629,22339,710747,33955,5411,1231,1304,41172,0,8244,0,384,583560,717229,413
,溪湖里,389,305354,8368,3371,253549,13587,1666,620,467,14872,0,7387,0,1468,204594,256398,24
,蓮庵里,502,431488,11207,3087,363157,20207,3356,272,479,25796,23,3310,247,347,294063,362394,629
,料羅里,627,578680,6241,6304,507154,20701,5165,666,406,29007,190,2418,0,428,423730,495256,202
,新湖里,2224,2038000,54001,36023,1667040,91939,23225,7050,3291,133573,509,16096,378,4875,1379990,1750724,1883
,正義里,724,615730,13142,13253,508536,32285,2545,1337,634,35959,0,5892,0,2149,412782,519977,258
,瓊林里,940,757973,19274,10606,627193,45702,3644,839,1415,39553,422,5908,2,3414,507987,639261,609
,其　他,5,2196,213,0,1127,402,18,0,0,437,0,0,0,0,782,1852,0
,合　計,7812,6966559,169322,119990,5776661,327565,57800,14669,9749,407659,5115,62248,696,15084,4772772,5962938,5424
金沙鎮,汶沙里,1479,1310507,31496,23676,1073710,72899,11065,2898,2518,79541,549,11079,142,934,882723,1119709,1204
,何斗里,551,469384,10725,6796,383826,23355,3237,634,557,33537,348,6121,0,248,311463,397606,212
,浦山里,616,506913,13547,9074,408345,29043,2215,421,1406,36782,189,4632,0,1260,329128,427696,95
,西園里,397,332001,9208,2856,265918,20081,2406,592,492,26396,41,3650,0,361,216189,282272,56
,官嶼里,554,492901,8428,7002,388827,28659,6973,462,409,44750,187,6616,98,490,315233,419457,507
,光前里,662,591631,10753,5880,501040,24303,2917,2491,811,32118,0,11051,10,257,414148,504728,764
,三山里,486,386883,7618,2675,325024,23450,4431,1259,539,16100,921,4727,0,141,261238,323097,104
,大洋里,337,283669,8171,2007,232701,12448,4454,488,319,20100,0,2615,0,368,187014,237982,51
,其　他,7,4859,92,0,4614,73,0,0,0,21,0,58,0,0,3882,4126,0
,合　計,5089,4378747,100038,59965,3584004,234310,37699,9244,7049,289344,2235,50549,250,4059,2921017,3716674,2991
烈嶼鄉,林湖村,891,756225,12292,10218,645012,30171,5142,802,500,42696,47,7965,0,1379,524905,636118,257
"表166-W(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：金 門 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,黃埔村,417,333493,6991,2771,284262,16141,1719,783,275,17346,188,2784,0,234,227668,276899,92
,西口村,660,554325,11132,5362,476250,22863,3381,860,873,29411,311,2985,113,783,384578,462926,762
,上林村,393,310387,5070,1807,262237,13735,1971,723,262,21669,349,2332,0,233,207717,255867,265
,上岐村,761,640910,7952,4693,534941,28965,7545,1397,736,50404,189,2796,0,1292,432734,538703,215
,其　他,1,3079,10,13,2902,15,0,93,0,0,0,46,0,0,2764,2941,0
,合　計,3123,2598418,43447,24864,2205603,111890,19758,4658,2645,161526,1084,18908,113,3921,1780366,2173454,1591
烏坵鄉,大坵村,77,68142,573,298,60707,4352,238,81,35,1506,0,259,0,93,49899,57334,1
,小坵村,101,92366,4075,744,76282,4934,800,15,72,5037,0,397,0,11,62515,78599,62
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,178,160508,4648,1042,136989,9286,1038,95,107,6543,0,656,0,104,112413,135933,63
其　他,其　他,27,28160,2026,85,21319,2082,0,16,40,2478,0,113,0,0,17909,24750,12
,合　計,27,28160,2026,85,21319,2082,0,16,40,2478,0,113,0,0,17909,24750,12
